1778696499.438	close]	560	76	19	409	56	410	98	126	0	404
1778696499.514		497	75	43	344	35	346	79	129	0	200
1778696499.591		601	115	29	413	44	419	84	312	0	200
1778696499.668	close]	570	113	30	389	38	391	98	126	0	404
1778696499.744		574	84	25	424	41	426	79	129	0	200
1778696499.820		553	91	30	397	35	400	84	312	0	200
1778696499.896	close]	519	82	24	356	57	357	98	126	0	404
1778696499.971		516	85	25	373	33	375	79	129	0	200
1778696500.047		644	110	29	455	50	458	84	312	0	200
1778696500.121	close]	526	109	26	362	29	365	98	126	0	404
1778696500.197		492	94	28	299	71	301	79	129	0	200
1778696500.272		659	112	26	456	65	459	84	312	0	200
1778696500.347	close]	538	90	26	388	34	390	98	126	0	404
1778696500.422		678	112	29	429	108	433	79	129	0	200
1778696500.496		502	93	26	354	29	356	84	312	0	200
1778696500.571	close]	585	117	30	385	53	390	98	126	0	404
1778696500.645		562	84	21	411	46	414	79	129	0	200
1778696500.719		591	80	25	430	56	431	84	312	0	200
1778696500.791	close]	570	123	25	386	36	389	98	126	0	404
1778696500.866		577	86	26	407	58	410	79	129	0	200
1778696500.938		534	76	24	386	48	387	84	312	0	200
1778696501.013	close]	573	77	23	430	43	432	98	126	0	404
1778696501.086		597	77	18	389	113	391	79	129	0	200
1778696501.159		489	85	24	348	32	349	84	312	0	200
1778696501.232	close]	503	75	25	345	58	348	98	126	0	404
1778696501.304		658	97	29	487	45	488	79	129	0	200
1778696501.377		616	84	25	473	34	474	84	312	0	200
1778696501.449	close]	543	81	27	406	29	410	98	126	0	404
1778696501.521		494	78	25	359	32	363	79	129	0	200
1778696501.593		592	118	28	401	45	405	84	312	0	200
1778696501.665	close]	532	97	27	358	50	362	98	126	0	404
1778696501.737		544	86	27	400	31	402	79	129	0	200
1778696501.808		584	96	28	428	32	432	84	312	0	200
1778696501.880	close]	504	83	24	350	47	352	98	126	0	404
1778696501.951		519	75	21	335	88	338	79	129	0	200
1778696502.021		609	94	24	441	50	442	84	312	0	200
1778696502.093	close]	523	79	23	350	71	352	98	126	0	404
1778696502.164		469	104	24	296	45	297	79	129	0	200
1778696502.234		511	111	26	331	43	367	84	312	0	200
1778696502.305	close]	515	91	25	361	38	364	98	126	0	404
1778696502.375		497	81	25	361	30	363	79	129	0	200
1778696502.445		539	78	23	391	47	392	84	312	0	200
1778696502.514	close]	559	76	24	420	39	421	98	126	0	404
1778696502.585		758	125	28	551	54	553	79	129	0	200
1778696502.655		656	104	28	462	62	465	84	312	0	200
1778696502.725	close]	608	114	30	432	32	437	98	126	0	404
1778696502.794		645	101	27	455	62	460	79	129	0	200
1778696502.863		570	77	24	416	53	417	84	312	0	200
1778696502.933	close]	550	76	24	394	56	395	98	126	0	404
1778696503.002		500	80	26	353	41	355	79	129	0	200
1778696503.071		457	77	23	325	32	327	84	312	0	200
1778696503.140	close]	572	83	20	375	94	377	98	126	0	404
1778696503.208		428	77	34	286	31	287	79	129	0	200
1778696503.276		601	95	24	445	37	448	84	312	0	200
1778696503.345	close]	488	89	27	327	45	330	98	126	0	404
1778696503.413		528	85	27	363	53	364	79	129	0	200
1778696503.482		544	82	25	408	29	411	84	312	0	200
1778696503.550	close]	609	82	26	454	47	456	98	126	0	404
1778696503.616		830	121	29	608	72	612	79	129	0	200
1778696503.685		608	83	25	454	46	459	84	312	0	200
1778696503.753	close]	679	85	26	523	45	524	98	126	0	404
1778696503.820		669	104	29	489	47	491	79	129	0	200
1778696503.888		558	78	23	413	44	415	84	312	0	200
1778696503.955	close]	584	81	25	359	119	360	98	126	0	404
1778696504.022		478	82	22	325	49	326	79	129	0	200
1778696504.089		593	89	26	432	46	413	84	312	0	200
1778696504.156	close]	615	77	34	446	58	447	98	126	0	404
1778696504.223		489	76	24	346	43	345	79	129	0	200
1778696504.289		599	108	26	400	65	404	84	312	0	200
1778696504.356	close]	669	91	26	478	74	482	98	126	0	404
1778696504.422		551	91	26	361	73	364	79	129	0	200
1778696504.488		525	86	25	380	34	383	84	312	0	200
1778696504.554	close]	549	77	23	405	44	399	98	126	0	404
1778696504.620		1106	146	29	890	41	896	79	129	0	200
1778696504.686		522	108	27	356	31	362	84	312	0	200
1778696504.752	close]	609	82	24	441	62	442	98	126	0	404
1778696504.818		682	95	24	480	83	484	79	129	0	200
1778696504.883		559	85	25	405	44	408	84	312	0	200
1778696504.949	close]	488	74	22	354	38	356	98	126	0	404
1778696505.014		528	79	24	386	39	389	79	129	0	200
1778696505.079		627	89	26	482	30	486	84	312	0	200
1778696505.144	close]	565	76	25	425	39	428	98	126	0	404
1778696505.209		558	86	25	413	34	415	79	129	0	200
1778696505.274		656	106	25	482	43	486	84	312	0	200
1778696505.339	close]	558	90	28	387	53	390	98	126	0	404
1778696505.403		535	84	24	385	42	388	79	129	0	200
1778696505.468		640	80	25	486	49	488	84	312	0	200
1778696505.532	close]	565	85	26	405	49	408	98	126	0	404
1778696505.596		488	77	25	331	55	332	79	129	0	200
1778696505.659		662	114	27	489	32	494	84	312	0	200
1778696505.723	close]	590	80	26	421	63	424	98	126	0	404
1778696505.787		637	123	26	443	45	448	79	129	0	200
1778696505.851		651	102	22	479	48	482	84	312	0	200
1778696505.915	close]	430	101	26	264	39	268	98	126	0	404
1778696505.980		526	78	28	377	43	380	79	129	0	200
1778696506.043		580	78	20	441	41	442	84	312	0	200
1778696506.107	close]	569	95	20	405	49	408	98	126	0	404
1778696506.170		518	87	27	374	30	377	79	129	0	200
1778696506.233		433	81	25	289	38	293	84	312	0	200
1778696506.296	close]	623	90	26	445	62	448	98	126	0	404
1778696506.359		601	87	27	446	41	449	79	129	0	200
1778696506.422		588	86	26	435	41	437	84	312	0	200
1778696506.485	close]	509	79	25	357	48	359	98	126	0	404
1778696506.546		580	94	25	399	62	415	79	129	0	200
1778696506.609		611	77	24	455	55	458	84	312	0	200
1778696506.671	close]	677	125	28	476	48	481	98	126	0	404
1778696506.734		680	99	20	516	45	519	79	129	0	200
1778696506.797		620	109	26	454	31	456	84	312	0	200
1778696506.858	close]	590	91	42	401	56	403	98	126	0	404
1778696506.921		496	79	25	328	64	331	79	129	0	200
1778696506.983		440	79	25	307	29	309	84	312	0	200
1778696507.045	close]	591	80	26	357	128	358	98	126	0	404
1778696507.107		506	77	23	336	70	339	79	129	0	200
1778696507.169		515	76	24	385	30	385	84	312	0	200
1778696507.230	close]	471	79	24	340	28	342	98	126	0	404
1778696507.292		570	97	25	375	73	379	79	129	0	200
1778696507.353		665	123	29	429	84	433	84	312	0	200
1778696507.414	close]	526	91	25	379	31	380	98	126	0	404
1778696507.476		529	82	21	392	34	394	79	129	0	200
1778696507.536		525	75	26	376	48	377	84	312	0	200
1778696507.598	close]	554	81	24	414	35	415	98	126	0	404
1778696507.659		732	103	25	473	131	477	79	129	0	200
1778696507.719		556	110	29	371	46	376	84	312	0	200
1778696507.780	close]	669	102	22	499	46	501	98	126	0	404
1778696507.841		613	97	28	439	49	445	79	129	0	200
1778696507.901		554	77	22	380	75	382	84	312	0	200
1778696507.961	close]	532	87	26	357	62	360	98	126	0	404
1778696508.022		617	95	26	471	25	476	79	129	0	200
1778696508.082		602	96	25	432	49	435	84	312	0	200
1778696508.142	close]	502	86	24	354	38	356	98	126	0	404
1778696508.202		534	82	24	389	39	393	79	129	0	200
1778696508.261		715	113	42	521	39	524	84	312	0	200
1778696508.322	close]	576	96	27	396	57	400	98	126	0	404
1778696508.382		622	77	21	400	124	402	79	129	0	200
1778696508.442		558	79	24	415	40	419	84	312	0	200
1778696508.502	close]	503	77	24	375	27	377	98	126	0	404
1778696508.560		522	80	22	377	43	379	79	129	0	200
1778696508.621		509	76	22	365	46	367	84	312	0	200
1778696508.680	close]	861	113	27	686	35	690	98	126	0	404
1778696508.739		740	121	28	536	55	465	79	129	0	200
1778696508.798		778	111	28	572	67	576	84	312	0	200
1778696508.857	close]	617	81	24	464	48	465	98	126	0	404
1778696508.916		542	77	21	399	45	402	79	129	0	200
1778696508.975		614	76	23	447	68	448	84	312	0	200
1778696509.034	close]	502	84	25	360	33	362	98	126	0	404
1778696509.092		451	97	24	291	39	291	79	129	0	200
1778696509.152		557	81	24	423	29	423	84	312	0	200
1778696509.210	close]	505	83	24	354	44	354	98	126	0	404
1778696509.268		2751	153	29	2529	40	2532	79	129	0	200
1778696509.327		640	98	27	459	56	462	84	312	0	200
1778696509.386	close]	550	90	36	378	46	378	98	126	0	404
1778696509.443		423	82	25	272	44	273	79	129	0	200
1778696509.502		621	81	26	457	57	457	84	312	0	200
1778696509.560	close]	510	73	24	311	102	312	98	126	0	404
1778696509.618		558	81	25	380	72	381	79	129	0	200
1778696509.676		544	75	22	406	41	408	84	312	0	200
1778696509.734	close]	661	117	29	465	50	469	98	126	0	404
1778696509.792		542	112	26	366	38	369	79	129	0	200
1778696509.848		582	103	27	410	42	413	84	312	0	200
1778696509.907	close]	507	77	26	376	28	377	98	126	0	404
1778696509.965		611	77	24	446	64	447	79	129	0	200
1778696510.022		709	125	32	492	60	494	84	312	0	200
1778696510.079	close]	605	80	25	450	50	451	98	126	0	404
1778696510.137		599	83	22	432	62	434	79	129	0	200
1778696510.193		548	114	21	374	39	377	84	312	0	200
1778696510.251	close]	593	100	26	418	49	422	98	126	0	404
1778696510.308		681	84	25	481	91	483	79	129	0	200
1778696510.365		533	78	25	387	43	388	84	312	0	200
1778696510.421	close]	545	84	24	407	30	409	98	126	0	404
